teamId,teamName,constructor
1,Alfa Romeo,Alfa Romeo-Ferrari
2,AlphaTauri,AlphaTauri-Honda RBPT
3,Alpine,Alpine-Renault
4,Aston Martin Aramco,Aston Martin Aramco-Mercedes
5,Ferrari,Ferrari
6,Haas,Haas-Ferrari
7,McLaren,McLaren-Mercedes
8,Mercedes,Mercedes
9,Red Bull Racing,Red Bull Racing-Honda RBPT
10,Williams,Williams-Mercedes
11,Kick Sauber,Kick Sauber-Ferrari
12,RB,RB-Honda RBPT
13,Racing Bulls,Racing Bulls-Honda RBPT
14,Alpine,Alpine-Mercedes
15,Aston Martin Aramco,Aston Martin Aramco-Honda
16,Audi,Audi
17,Cadillac,Cadillac-Ferrari
18,Racing Bulls,Racing Bulls-Red Bull Ford
19,Red Bull Racing,Red Bull Racing-Red Bull Ford